31/03/2023 17:18:30 root   INFO     Training for a total of 200 epochs
31/03/2023 17:18:30 root   INFO     Weights are saved to /home/gabinlembrez/GitHub/torque-tracking-ML/exps/RKPmodel/ after every 50 epochs
31/03/2023 17:18:30 root   INFO     Dataset path: /home/gabinlembrez/GitHub/torque-tracking-ML/data/RKP/
31/03/2023 17:18:30 root   INFO     Random Seed: 0
31/03/2023 17:18:31 root   INFO     Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.0001
    maximize: False
    weight_decay: 0
)
31/03/2023 17:18:31 root   INFO     train data: 945 batches of batch size 64
31/03/2023 17:18:31 root   INFO     valid data: 518 batches of batch size 64
31/03/2023 17:18:37 root   INFO     iters: 0 train_loss: 14.470390 valid_loss: 8.568278 lr: 0.000100
31/03/2023 17:18:42 root   INFO     iters: 1 train_loss: 14.449490 valid_loss: 8.568867 lr: 0.000099
31/03/2023 17:18:48 root   INFO     iters: 2 train_loss: 14.448952 valid_loss: 8.567384 lr: 0.000099
31/03/2023 17:18:53 root   INFO     iters: 3 train_loss: 14.445117 valid_loss: 8.571768 lr: 0.000099
31/03/2023 17:18:59 root   INFO     iters: 4 train_loss: 14.439263 valid_loss: 8.579869 lr: 0.000099
31/03/2023 17:19:04 root   INFO     iters: 5 train_loss: 14.438993 valid_loss: 8.576955 lr: 0.000099
31/03/2023 17:19:09 root   INFO     iters: 6 train_loss: 14.433678 valid_loss: 8.565331 lr: 0.000099
31/03/2023 17:19:15 root   INFO     iters: 7 train_loss: 14.413180 valid_loss: 8.522832 lr: 0.000099
31/03/2023 17:19:20 root   INFO     iters: 8 train_loss: 14.378901 valid_loss: 8.557194 lr: 0.000099
31/03/2023 17:19:26 root   INFO     iters: 9 train_loss: 14.353921 valid_loss: 8.496005 lr: 0.000099
31/03/2023 17:19:31 root   INFO     iters: 10 train_loss: 14.339150 valid_loss: 8.502224 lr: 0.000099
31/03/2023 17:19:36 root   INFO     iters: 11 train_loss: 14.326564 valid_loss: 8.480171 lr: 0.000098
31/03/2023 17:19:42 root   INFO     iters: 12 train_loss: 14.311553 valid_loss: 8.479184 lr: 0.000098
31/03/2023 17:19:47 root   INFO     iters: 13 train_loss: 14.293299 valid_loss: 8.515833 lr: 0.000098
31/03/2023 17:19:52 root   INFO     iters: 14 train_loss: 14.282215 valid_loss: 8.457231 lr: 0.000098
31/03/2023 17:19:58 root   INFO     iters: 15 train_loss: 14.263168 valid_loss: 8.446856 lr: 0.000098
31/03/2023 17:20:03 root   INFO     iters: 16 train_loss: 14.237129 valid_loss: 8.441035 lr: 0.000098
31/03/2023 17:20:09 root   INFO     iters: 17 train_loss: 14.219682 valid_loss: 8.455819 lr: 0.000098
31/03/2023 17:20:14 root   INFO     iters: 18 train_loss: 14.209444 valid_loss: 8.394008 lr: 0.000098
31/03/2023 17:20:20 root   INFO     iters: 19 train_loss: 14.184248 valid_loss: 8.389945 lr: 0.000098
31/03/2023 17:20:25 root   INFO     iters: 20 train_loss: 14.173594 valid_loss: 8.394117 lr: 0.000098
31/03/2023 17:20:30 root   INFO     iters: 21 train_loss: 14.133802 valid_loss: 8.386459 lr: 0.000097
31/03/2023 17:20:36 root   INFO     iters: 22 train_loss: 14.134941 valid_loss: 8.354616 lr: 0.000097
31/03/2023 17:20:41 root   INFO     iters: 23 train_loss: 14.099398 valid_loss: 8.367606 lr: 0.000097
31/03/2023 17:20:47 root   INFO     iters: 24 train_loss: 14.098071 valid_loss: 8.332696 lr: 0.000097
31/03/2023 17:20:52 root   INFO     iters: 25 train_loss: 14.067920 valid_loss: 8.334305 lr: 0.000097
31/03/2023 17:20:58 root   INFO     iters: 26 train_loss: 14.051847 valid_loss: 8.314642 lr: 0.000097
31/03/2023 17:21:04 root   INFO     iters: 27 train_loss: 14.045472 valid_loss: 8.316999 lr: 0.000097
31/03/2023 17:21:10 root   INFO     iters: 28 train_loss: 14.027197 valid_loss: 8.293832 lr: 0.000097
31/03/2023 17:21:16 root   INFO     iters: 29 train_loss: 14.012965 valid_loss: 8.508801 lr: 0.000097
31/03/2023 17:21:21 root   INFO     iters: 30 train_loss: 13.975557 valid_loss: 8.314989 lr: 0.000097
31/03/2023 17:21:27 root   INFO     iters: 31 train_loss: 13.958028 valid_loss: 8.281438 lr: 0.000096
31/03/2023 17:21:32 root   INFO     iters: 32 train_loss: 13.920328 valid_loss: 8.168200 lr: 0.000096
31/03/2023 17:21:38 root   INFO     iters: 33 train_loss: 13.890012 valid_loss: 8.185140 lr: 0.000096
31/03/2023 17:21:44 root   INFO     iters: 34 train_loss: 13.862969 valid_loss: 8.170439 lr: 0.000096
31/03/2023 17:21:49 root   INFO     iters: 35 train_loss: 13.833873 valid_loss: 8.146765 lr: 0.000096
31/03/2023 17:21:55 root   INFO     iters: 36 train_loss: 13.772367 valid_loss: 8.102772 lr: 0.000096
31/03/2023 17:22:00 root   INFO     iters: 37 train_loss: 13.750676 valid_loss: 8.143713 lr: 0.000096
31/03/2023 17:22:06 root   INFO     iters: 38 train_loss: 13.684888 valid_loss: 8.116117 lr: 0.000096
31/03/2023 17:22:11 root   INFO     iters: 39 train_loss: 13.650739 valid_loss: 8.171184 lr: 0.000096
31/03/2023 17:22:17 root   INFO     iters: 40 train_loss: 13.594415 valid_loss: 8.030364 lr: 0.000096
31/03/2023 17:22:22 root   INFO     iters: 41 train_loss: 13.544525 valid_loss: 7.945245 lr: 0.000095
31/03/2023 17:22:27 root   INFO     iters: 42 train_loss: 13.505328 valid_loss: 8.470978 lr: 0.000095
31/03/2023 17:22:33 root   INFO     iters: 43 train_loss: 13.456832 valid_loss: 7.847581 lr: 0.000095
31/03/2023 17:22:38 root   INFO     iters: 44 train_loss: 13.410017 valid_loss: 8.065492 lr: 0.000095
