20/03/2023 11:39:25 root   INFO     Training for a total of 100 epochs
20/03/2023 11:39:25 root   INFO     Weights are saved to exps/train2 after every 50 epochs
20/03/2023 11:39:25 root   INFO     Dataset path: data/RKP
20/03/2023 11:39:25 root   INFO     Random Seed: 0
20/03/2023 11:39:29 root   INFO     Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.0001
    maximize: False
    weight_decay: 0
)
20/03/2023 11:39:29 root   INFO     train data: 27 batches of batch size 256
20/03/2023 11:39:29 root   INFO     valid data: 3400 batches of batch size 2
20/03/2023 11:39:36 root   INFO     iters: 0 train_loss: 15345.957031 valid_loss: 16253.426758 lr: 0.000100
20/03/2023 11:39:42 root   INFO     iters: 1 train_loss: 15298.638672 valid_loss: 16187.846680 lr: 0.000099
20/03/2023 11:39:47 root   INFO     iters: 2 train_loss: 15170.120117 valid_loss: 16100.163086 lr: 0.000099
20/03/2023 11:39:53 root   INFO     iters: 3 train_loss: 15134.084961 valid_loss: 15986.826172 lr: 0.000099
20/03/2023 11:39:59 root   INFO     iters: 4 train_loss: 14994.549805 valid_loss: 15841.573242 lr: 0.000099
20/03/2023 11:40:05 root   INFO     iters: 5 train_loss: 14826.465820 valid_loss: 15658.244141 lr: 0.000099
20/03/2023 11:40:11 root   INFO     iters: 6 train_loss: 14663.699219 valid_loss: 15435.794922 lr: 0.000099
20/03/2023 11:40:16 root   INFO     iters: 7 train_loss: 14400.912109 valid_loss: 15166.180664 lr: 0.000099
20/03/2023 11:40:22 root   INFO     iters: 8 train_loss: 14117.578125 valid_loss: 14848.760742 lr: 0.000099
20/03/2023 11:40:28 root   INFO     iters: 9 train_loss: 13786.390625 valid_loss: 14472.492188 lr: 0.000099
20/03/2023 11:40:34 root   INFO     iters: 10 train_loss: 13430.355469 valid_loss: 14037.576172 lr: 0.000099
20/03/2023 11:40:40 root   INFO     iters: 11 train_loss: 13023.336914 valid_loss: 13542.583984 lr: 0.000098
20/03/2023 11:40:45 root   INFO     iters: 12 train_loss: 12543.167969 valid_loss: 12994.486328 lr: 0.000098
20/03/2023 11:40:51 root   INFO     iters: 13 train_loss: 12025.163086 valid_loss: 12391.894531 lr: 0.000098
20/03/2023 11:40:57 root   INFO     iters: 14 train_loss: 11466.138672 valid_loss: 11741.239258 lr: 0.000098
20/03/2023 11:41:03 root   INFO     iters: 15 train_loss: 10829.162109 valid_loss: 11052.826172 lr: 0.000098
20/03/2023 11:41:09 root   INFO     iters: 16 train_loss: 10192.739258 valid_loss: 10339.639648 lr: 0.000098
20/03/2023 11:41:15 root   INFO     iters: 17 train_loss: 9573.257812 valid_loss: 9611.583984 lr: 0.000098
20/03/2023 11:41:21 root   INFO     iters: 18 train_loss: 8921.922852 valid_loss: 8881.722656 lr: 0.000098
20/03/2023 11:41:27 root   INFO     iters: 19 train_loss: 8259.285156 valid_loss: 8151.550293 lr: 0.000098
20/03/2023 11:41:33 root   INFO     iters: 20 train_loss: 7615.326660 valid_loss: 7439.859863 lr: 0.000098
20/03/2023 11:41:39 root   INFO     iters: 21 train_loss: 7000.081055 valid_loss: 6764.460449 lr: 0.000097
20/03/2023 11:41:45 root   INFO     iters: 22 train_loss: 6427.922852 valid_loss: 6131.710938 lr: 0.000097
20/03/2023 11:41:51 root   INFO     iters: 23 train_loss: 5870.067383 valid_loss: 5537.438965 lr: 0.000097
