28/03/2023 10:43:09 root   INFO     Training for a total of 100 epochs
28/03/2023 10:43:09 root   INFO     Weights are saved to /home/gabinlembrez/GitHub/torque-tracking-ML/exps/trainBatchTest/ after every 50 epochs
28/03/2023 10:43:09 root   INFO     Dataset path: /home/gabinlembrez/GitHub/torque-tracking-ML/data/RKP/
28/03/2023 10:43:09 root   INFO     Random Seed: 0
28/03/2023 10:43:12 root   INFO     Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.0001
    maximize: False
    weight_decay: 0
)
28/03/2023 10:43:12 root   INFO     train data: 419 batches of batch size 10
28/03/2023 10:43:12 root   INFO     valid data: 770 batches of batch size 10
28/03/2023 10:43:16 root   INFO     iters: 0 train_loss: 93.689293 valid_loss: 228.743195 lr: 0.000100
28/03/2023 10:43:19 root   INFO     iters: 1 train_loss: 93.445770 valid_loss: 226.815903 lr: 0.000099
28/03/2023 10:43:22 root   INFO     iters: 2 train_loss: 92.790344 valid_loss: 223.163132 lr: 0.000099
28/03/2023 10:43:26 root   INFO     iters: 3 train_loss: 91.658096 valid_loss: 223.460037 lr: 0.000099
28/03/2023 10:43:29 root   INFO     iters: 4 train_loss: 90.836037 valid_loss: 218.055862 lr: 0.000099
28/03/2023 10:43:32 root   INFO     iters: 5 train_loss: 90.081779 valid_loss: 214.345963 lr: 0.000099
28/03/2023 10:43:36 root   INFO     iters: 6 train_loss: 89.388123 valid_loss: 213.832306 lr: 0.000099
28/03/2023 10:43:39 root   INFO     iters: 7 train_loss: 88.806854 valid_loss: 210.411194 lr: 0.000099
28/03/2023 10:43:43 root   INFO     iters: 8 train_loss: 88.083900 valid_loss: 208.607986 lr: 0.000099
28/03/2023 10:43:46 root   INFO     iters: 9 train_loss: 87.350151 valid_loss: 206.212784 lr: 0.000099
28/03/2023 10:43:50 root   INFO     iters: 10 train_loss: 86.713493 valid_loss: 202.720001 lr: 0.000099
28/03/2023 10:43:53 root   INFO     iters: 11 train_loss: 86.083794 valid_loss: 202.436905 lr: 0.000098
28/03/2023 10:43:57 root   INFO     iters: 12 train_loss: 85.455727 valid_loss: 198.729706 lr: 0.000098
28/03/2023 10:44:00 root   INFO     iters: 13 train_loss: 84.910812 valid_loss: 198.266022 lr: 0.000098
28/03/2023 10:44:04 root   INFO     iters: 14 train_loss: 84.478577 valid_loss: 194.954193 lr: 0.000098
28/03/2023 10:44:07 root   INFO     iters: 15 train_loss: 83.693298 valid_loss: 191.974808 lr: 0.000098
28/03/2023 10:44:11 root   INFO     iters: 16 train_loss: 83.372269 valid_loss: 191.970490 lr: 0.000098
28/03/2023 10:44:14 root   INFO     iters: 17 train_loss: 82.881790 valid_loss: 189.671661 lr: 0.000098
28/03/2023 10:44:18 root   INFO     iters: 18 train_loss: 82.291061 valid_loss: 186.604507 lr: 0.000098
28/03/2023 10:44:21 root   INFO     iters: 19 train_loss: 81.874954 valid_loss: 185.577911 lr: 0.000098
28/03/2023 10:44:25 root   INFO     iters: 20 train_loss: 81.428253 valid_loss: 183.922440 lr: 0.000098
28/03/2023 10:44:28 root   INFO     iters: 21 train_loss: 80.782974 valid_loss: 184.235199 lr: 0.000097
28/03/2023 10:44:31 root   INFO     iters: 22 train_loss: 80.582092 valid_loss: 180.172058 lr: 0.000097
28/03/2023 10:44:35 root   INFO     iters: 23 train_loss: 80.122086 valid_loss: 182.809189 lr: 0.000097
28/03/2023 10:44:38 root   INFO     iters: 24 train_loss: 79.669456 valid_loss: 176.967056 lr: 0.000097
28/03/2023 10:44:42 root   INFO     iters: 25 train_loss: 79.494194 valid_loss: 177.373734 lr: 0.000097
28/03/2023 10:44:45 root   INFO     iters: 26 train_loss: 79.003693 valid_loss: 175.592102 lr: 0.000097
28/03/2023 10:44:49 root   INFO     iters: 27 train_loss: 78.903351 valid_loss: 175.823898 lr: 0.000097
28/03/2023 10:44:52 root   INFO     iters: 28 train_loss: 78.330582 valid_loss: 171.847076 lr: 0.000097
28/03/2023 10:44:55 root   INFO     iters: 29 train_loss: 77.968658 valid_loss: 171.973923 lr: 0.000097
28/03/2023 10:44:59 root   INFO     iters: 30 train_loss: 77.532211 valid_loss: 171.584961 lr: 0.000097
28/03/2023 10:45:02 root   INFO     iters: 31 train_loss: 77.505798 valid_loss: 169.596725 lr: 0.000096
28/03/2023 10:45:06 root   INFO     iters: 32 train_loss: 77.075134 valid_loss: 168.907684 lr: 0.000096
28/03/2023 10:45:09 root   INFO     iters: 33 train_loss: 76.948929 valid_loss: 168.655746 lr: 0.000096
28/03/2023 10:45:13 root   INFO     iters: 34 train_loss: 76.696251 valid_loss: 164.777618 lr: 0.000096
28/03/2023 10:45:16 root   INFO     iters: 35 train_loss: 76.333557 valid_loss: 163.110352 lr: 0.000096
28/03/2023 10:45:20 root   INFO     iters: 36 train_loss: 75.937309 valid_loss: 162.978775 lr: 0.000096
28/03/2023 10:45:24 root   INFO     iters: 37 train_loss: 75.964897 valid_loss: 162.375870 lr: 0.000096
28/03/2023 10:45:27 root   INFO     iters: 38 train_loss: 75.485771 valid_loss: 165.112503 lr: 0.000096
28/03/2023 10:45:31 root   INFO     iters: 39 train_loss: 75.627953 valid_loss: 159.624512 lr: 0.000096
28/03/2023 10:45:34 root   INFO     iters: 40 train_loss: 75.290092 valid_loss: 159.718246 lr: 0.000096
28/03/2023 10:45:38 root   INFO     iters: 41 train_loss: 75.002625 valid_loss: 162.962296 lr: 0.000095
28/03/2023 10:45:42 root   INFO     iters: 42 train_loss: 74.762146 valid_loss: 158.265366 lr: 0.000095
