17/03/2023 14:39:39 root   INFO     Training for a total of 1000 epochs
17/03/2023 14:39:39 root   INFO     Weights are saved to /home/gabinlembrez/GitHub/torque-tracking/output after every 50 epochs
17/03/2023 14:39:39 root   INFO     Dataset path: /home/gabinlembrez/GitHub/torque-tracking-mlp/datasets
17/03/2023 14:39:39 root   INFO     Random Seed: 0
17/03/2023 14:39:42 root   INFO     Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: False
    lr: 0.0001
    maximize: False
    weight_decay: 0
)
17/03/2023 14:39:42 root   INFO     train data: 125 batches of batch size 8
17/03/2023 14:39:42 root   INFO     valid data: 500 batches of batch size 2
17/03/2023 14:39:44 root   INFO     iters: 0 train_loss: 18176.734375 valid_loss: 18742.845703 lr: 0.000100
17/03/2023 14:39:46 root   INFO     iters: 1 train_loss: 17668.853516 valid_loss: 18020.367188 lr: 0.000099
17/03/2023 14:39:47 root   INFO     iters: 2 train_loss: 16572.207031 valid_loss: 16640.421875 lr: 0.000099
17/03/2023 14:39:49 root   INFO     iters: 3 train_loss: 14697.986328 valid_loss: 14534.294922 lr: 0.000099
17/03/2023 14:39:50 root   INFO     iters: 4 train_loss: 12076.968750 valid_loss: 12024.029297 lr: 0.000099
17/03/2023 14:39:52 root   INFO     iters: 5 train_loss: 9161.848633 valid_loss: 9567.075195 lr: 0.000099
17/03/2023 14:39:54 root   INFO     iters: 6 train_loss: 6634.127441 valid_loss: 7764.055176 lr: 0.000099
17/03/2023 14:39:55 root   INFO     iters: 7 train_loss: 4948.403320 valid_loss: 6585.495117 lr: 0.000099
17/03/2023 14:39:57 root   INFO     iters: 8 train_loss: 3985.887939 valid_loss: 5743.155762 lr: 0.000099
17/03/2023 14:39:59 root   INFO     iters: 9 train_loss: 3424.874023 valid_loss: 5132.928223 lr: 0.000099
17/03/2023 14:40:00 root   INFO     iters: 10 train_loss: 3042.130127 valid_loss: 4586.687988 lr: 0.000099
17/03/2023 14:40:02 root   INFO     iters: 11 train_loss: 2730.746094 valid_loss: 4136.069336 lr: 0.000098
17/03/2023 14:40:04 root   INFO     iters: 12 train_loss: 2449.508057 valid_loss: 3734.991211 lr: 0.000098
17/03/2023 14:40:05 root   INFO     iters: 13 train_loss: 2184.592285 valid_loss: 3389.744385 lr: 0.000098
17/03/2023 14:40:07 root   INFO     iters: 14 train_loss: 1933.679443 valid_loss: 3043.881592 lr: 0.000098
17/03/2023 14:40:09 root   INFO     iters: 15 train_loss: 1692.855103 valid_loss: 2735.189941 lr: 0.000098
17/03/2023 14:40:10 root   INFO     iters: 16 train_loss: 1465.473267 valid_loss: 2465.445557 lr: 0.000098
17/03/2023 14:40:12 root   INFO     iters: 17 train_loss: 1256.500488 valid_loss: 2201.010742 lr: 0.000098
17/03/2023 14:40:14 root   INFO     iters: 18 train_loss: 1067.028320 valid_loss: 1957.564209 lr: 0.000098
17/03/2023 14:40:16 root   INFO     iters: 19 train_loss: 896.222290 valid_loss: 1746.538574 lr: 0.000098
17/03/2023 14:40:18 root   INFO     iters: 20 train_loss: 749.079651 valid_loss: 1551.589722 lr: 0.000098
17/03/2023 14:40:19 root   INFO     iters: 21 train_loss: 625.567810 valid_loss: 1379.707275 lr: 0.000097
17/03/2023 14:40:21 root   INFO     iters: 22 train_loss: 523.987000 valid_loss: 1231.301514 lr: 0.000097
17/03/2023 14:40:23 root   INFO     iters: 23 train_loss: 443.450989 valid_loss: 1090.384766 lr: 0.000097
17/03/2023 14:40:25 root   INFO     iters: 24 train_loss: 378.436310 valid_loss: 974.304382 lr: 0.000097
17/03/2023 14:40:27 root   INFO     iters: 25 train_loss: 327.405518 valid_loss: 870.684631 lr: 0.000097
17/03/2023 14:40:29 root   INFO     iters: 26 train_loss: 284.905396 valid_loss: 787.886353 lr: 0.000097
17/03/2023 14:40:31 root   INFO     iters: 27 train_loss: 252.844147 valid_loss: 702.772644 lr: 0.000097
17/03/2023 14:40:32 root   INFO     iters: 28 train_loss: 225.983307 valid_loss: 634.888977 lr: 0.000097
17/03/2023 14:40:34 root   INFO     iters: 29 train_loss: 202.272827 valid_loss: 577.740540 lr: 0.000097
17/03/2023 14:40:36 root   INFO     iters: 30 train_loss: 183.082626 valid_loss: 529.892517 lr: 0.000097
17/03/2023 14:40:37 root   INFO     iters: 31 train_loss: 165.936615 valid_loss: 480.499420 lr: 0.000096
17/03/2023 14:40:39 root   INFO     iters: 32 train_loss: 151.438980 valid_loss: 442.341644 lr: 0.000096
17/03/2023 14:40:41 root   INFO     iters: 33 train_loss: 138.748016 valid_loss: 408.379608 lr: 0.000096
17/03/2023 14:40:43 root   INFO     iters: 34 train_loss: 127.073433 valid_loss: 382.450195 lr: 0.000096
17/03/2023 14:40:44 root   INFO     iters: 35 train_loss: 116.240486 valid_loss: 356.987305 lr: 0.000096
17/03/2023 14:40:46 root   INFO     iters: 36 train_loss: 107.051804 valid_loss: 327.689850 lr: 0.000096
17/03/2023 14:40:48 root   INFO     iters: 37 train_loss: 98.021072 valid_loss: 312.285065 lr: 0.000096
17/03/2023 14:40:50 root   INFO     iters: 38 train_loss: 90.681694 valid_loss: 297.456482 lr: 0.000096
17/03/2023 14:40:52 root   INFO     iters: 39 train_loss: 83.923973 valid_loss: 283.866791 lr: 0.000096
17/03/2023 14:40:53 root   INFO     iters: 40 train_loss: 78.024277 valid_loss: 267.104736 lr: 0.000096
17/03/2023 14:40:55 root   INFO     iters: 41 train_loss: 72.918945 valid_loss: 260.238129 lr: 0.000095
17/03/2023 14:40:57 root   INFO     iters: 42 train_loss: 67.475639 valid_loss: 251.592758 lr: 0.000095
17/03/2023 14:40:59 root   INFO     iters: 43 train_loss: 63.257984 valid_loss: 237.804504 lr: 0.000095
17/03/2023 14:41:00 root   INFO     iters: 44 train_loss: 59.372021 valid_loss: 231.225632 lr: 0.000095
17/03/2023 14:41:02 root   INFO     iters: 45 train_loss: 55.796223 valid_loss: 227.981491 lr: 0.000095
17/03/2023 14:41:04 root   INFO     iters: 46 train_loss: 52.816605 valid_loss: 222.839172 lr: 0.000095
17/03/2023 14:41:05 root   INFO     iters: 47 train_loss: 50.283558 valid_loss: 217.402084 lr: 0.000095
